Kabupaten/Kota,Sumber Air Minum Bersih,Sumber Air Minum Layak
Buton,"79,07","98,53"
Muna,"68,41","96,10"
Konawe,"77,39","86,26"
Kolaka,"93,37","97,68"
Konawe Selatan,"90,37","89,75"
Bombana,"93,33","98,72"
Wakatobi,"62,58","97,38"
Kolaka Utara,"90,90","92,27"
Buton Utara,"87,59","95,72"
Konawe Utara,"84,47","89,02"
Kolaka Timur,"81,38","97,61"
Konawe Kepulauan,"59,80","89,01"
Muna Barat,"64,11","96,05"
Buton Tengah,"89,80","96,07"
Buton Selatan,"44,78","98,41"
Kendari,"88,25","95,27"
Baubau,"93,91","100,00"
